timestamp,value
2021-05-31 21:06:34,16.5
2021-05-31 21:36:34,16.1
2021-05-31 22:06:34,15.7
2021-05-31 22:36:34,15.2
2021-05-31 23:06:34,14.8
2021-05-31 23:36:34,14.5
2021-06-01 00:06:34,14.4
2021-06-01 00:36:34,15
2021-06-01 01:06:34,16
2021-06-01 01:36:34,15.8
2021-06-01 02:06:34,15.6
2021-06-01 02:36:34,15.4
2021-06-01 03:06:34,15.3
2021-06-01 03:36:34,15.3
2021-06-01 04:06:34,15.3
2021-06-01 04:36:34,15.5
2021-06-01 05:06:34,16
2021-06-01 05:36:34,16.3
2021-06-01 06:06:34,16.6
2021-06-01 06:36:34,16.7
2021-06-01 07:06:34,16.8
2021-06-01 07:36:34,16.8
2021-06-01 08:06:34,16.9
2021-06-01 08:36:34,17.1
2021-06-01 09:06:34,17.1
2021-06-01 09:36:34,17.3
2021-06-01 10:06:34,18.4
2021-06-01 10:36:34,18.5
2021-06-01 11:06:34,18.5
2021-06-01 11:36:34,18.5
2021-06-01 12:06:34,18.6
2021-06-08 07:36:34,18
2021-06-08 08:06:34,17.9
2021-06-08 08:36:34,17.9
2021-06-08 09:06:34,17.9
2021-06-08 09:36:34,18
2021-06-08 10:06:34,17.9
2021-06-08 10:36:34,17.8
2021-06-08 11:06:34,17.8
2021-06-08 11:36:34,17.9
2021-06-08 12:06:34,17.8
2021-06-08 12:36:34,18.7
2021-06-08 13:06:34,19.6
2021-06-08 13:36:34,20.4
2021-06-08 14:06:34,20.5
2021-06-08 14:36:34,20.3
2021-06-08 15:06:34,20.2
2021-06-08 15:36:34,20.2
2021-06-08 16:06:34,20.1
2021-06-08 16:36:34,20.1
2021-06-08 17:06:34,20.2
2021-06-08 17:36:34,20.2
2021-06-08 18:06:34,20.3
2021-06-08 18:36:34,20.3
2021-06-08 19:06:34,20.4
2021-06-08 19:36:34,20.4
2021-06-08 20:06:34,20.5
2021-06-08 20:36:34,20.5
2021-06-08 21:06:34,20.6
2021-06-08 21:36:34,20.6
2021-06-08 22:06:34,20.6
2021-06-08 22:36:34,20.7
2021-06-08 23:06:34,20.7
2021-06-08 23:36:34,20.8
2021-06-09 00:06:34,20.8
2021-06-09 00:36:34,20.8
2021-06-09 01:06:34,20.8
2021-06-09 01:36:34,20.8
2021-06-09 02:06:34,20.7
2021-06-09 02:36:34,20.7
2021-06-09 03:06:34,20.7
2021-06-09 03:36:34,20.6
2021-06-09 04:06:34,20.5
2021-06-09 04:36:34,20.7
2021-06-09 05:06:34,20.7
2021-06-09 05:36:34,20.7
2021-06-09 06:06:34,20.7
2021-06-09 06:36:34,20.5
2021-06-09 07:06:34,20.3
2021-06-09 07:36:34,20.1
2021-06-09 08:06:34,20
2021-06-09 08:36:34,19.9
2021-06-09 09:06:34,19.9
2021-06-09 09:36:34,19.8
2021-06-09 10:06:34,20.6
2021-06-09 10:36:34,20.7
2021-06-09 11:06:34,20.6
2021-06-09 11:36:34,20.6
2021-06-09 12:06:34,20.5
2021-06-09 12:36:34,20.3
2021-06-09 13:06:34,20.1
2021-06-09 13:36:34,20.4
2021-06-09 14:06:34,21.2
2021-06-09 14:36:34,21.1
2021-06-09 15:06:34,21
2021-06-09 15:36:34,20.9
2021-06-09 16:06:34,20.8
2021-06-09 16:36:34,20.6
2021-06-09 17:06:34,20.6
2021-06-09 17:36:34,20.5
2021-06-09 18:06:34,20.5
2021-06-09 18:36:34,20.2
2021-06-09 19:06:34,19.8
2021-06-09 19:36:34,19.4
2021-06-09 20:06:34,18.9
2021-06-09 20:36:34,18.6
2021-06-09 21:06:34,18.3
2021-06-09 21:36:34,17.9
2021-06-09 22:06:34,17.5
2021-06-09 22:36:34,17
2021-06-09 23:06:34,16.5
2021-06-09 23:36:34,16.1
2021-06-10 00:06:34,17.4
2021-06-10 00:36:34,18.2
2021-06-10 01:06:34,18.8
2021-06-10 01:36:34,18.9
2021-06-10 02:06:34,18.6
2021-06-10 02:36:34,18.4
2021-06-10 03:06:34,18.2
2021-06-10 03:36:34,18.1
2021-06-10 04:06:34,18.1
2021-06-10 04:36:34,18.1
2021-06-10 05:06:34,18.2
2021-06-10 05:36:34,18.2
2021-06-10 06:06:34,18.2
2021-06-10 06:36:34,18.1
2021-06-10 07:06:34,18.1
2021-06-10 07:36:34,18.2
2021-06-10 08:06:34,18.2
2021-06-10 08:36:34,18.2
2021-06-10 09:06:34,18.2
2021-06-10 09:36:34,18.3
2021-06-10 10:06:34,19
2021-06-10 10:36:34,19.1
2021-06-10 11:06:34,19.1
2021-06-10 11:36:34,19.1
2021-06-10 12:06:34,19.1
2021-06-10 12:36:34,19.1
2021-06-10 13:06:34,19
2021-06-10 13:36:34,19
2021-06-10 14:06:34,18.9
